Submitted By:	Brand	Promotion/Campaign Name	Promotion Type	Objective and Description (Stakeholder facing promotion description)	Consumer Target (Leisure, Group, Business Transient) 	Markets Impacted	In-Market Start Date	In-Market End Date	Events	Media	Content	Direct Mail	Email	On Property	M.Com	SPG.com	Marriott Rewards	SPG Loyalty	The Ritz-Carlton Rewards	PR	Social	Other Channels	M Live Inclusion	STE Inclusion	Partnership	LANDING PAGE URL	CREATIVE URL
Laura Alfonsin	ALL STARWOOD BRANDS	Cvent Diamond Premium Listings	none	Drive group leads via premium CVENT listings	Group	CALA	01/01/17	31/12/17														X					
Laura Alfonsin	ALL STARWOOD BRANDS	Expedia Marketing Funds	other	Expedia Travel Ads for Need Hotels funded by Expedia Marketing Funds	Leisure	CALA Need Hotels	01/01/17	15/05/17														x					
Laura Alfonsin	ALL STARWOOD BRANDS	Destination Paid Content, Paid Social	other	Drive awareness and engagement to our Hotels across specific CALA Destinations within US and LATAM source markets by promoting  over 200 pieces of destination content. 	Leisure	Puerto Rico, Mexico, Peru, Argentina, Brazil, Uruguay, Cuba	01/01/17	31/03/17		X	X		X														
Laura Alfonsin	ALL STARWOOD BRANDS	Best Available Rate plus Breakfast	package	Drive room nights and bookings through breakfast package offer	Leisure, Business Transient	CALA	01/01/17	31/03/17		X																	
Laura Alfonsin	ALL STARWOOD BRANDS	Incredible Offers	package	Drive bookings and traffic to Hotel Special Offers Pages	Leisure, Business Transient	CALA	01/01/17	31/03/17		X																	
Mandy Gill	JW Marriott, Marriott Hotels	Paradise Inclusive Group Promotion - CALA Resorts	package	Offer group package to compete with AI Resorts in CALA	Group	CALA	01/01/17	30/06/17		X			X		X					X						http://www.paradisemeetingsbymarriott.com/all-inclusive-packages.html	
Laura Alfonsin	ALL STARWOOD BRANDS	SPG Member Rates	rewards	Promote CALA hotels and drive loyalty by promoting Member Rates.	Leisure, Business Transient	CALA	01/01/17	15/03/17																			
Linda Cain	ALL STARWOOD BRANDS, Starwood preferred Guests	SPG Pro/Double Double Offer	rewards	Double points for registered SPG Pro meeting planners	Leisure, Group 	CALA	01/01/17	30/06/17	X	X			X			X		X		X	X						
Michael Pool	ALL MARRIOTT BRANDS	Marriott Rewards Resorts Redemption Offer	rewards	Drive bookings and registration through a rich points offers focusing on resort properties	Leisure	CALA	03/01/17	30/06/17		X			X		X		X			X	X					http://deals.marriott.com/rewarding-redemptions?scid=cdb0e3cc-b4e7-4e69-b444-598b587b95eb&nck=0&ck=999999&lk=&nck=MReNews-MR-EnewsSpansihFeb2017(ENG)-BV-Test-13&ck=999999&lk=1000213017	
Melina Solin	Sheraton	Sheraton Brand Campaign for CALA	branding	Sheraton "Go Beyond" digital campaign across key markets in CALA. Campaign leverages digital, social and video assets.  	Leisure, Business Transient	CALA	1/9/17	30/11/17		X	X										X						
Kerstin Sachl	Marriott Hotels	Opening Medellin Marriott Hotel	opening	Generate awareness through PR, Media, Social, and Marriott owned channels.	Leisure, Business Transient	Colombia	11/01/17	11/01/17												X							
