Date	Owner	Owner SubRegion	Campaign Group	Market Scope	Destination - Featured Market	Market - more	Ongoing Campaign	Program Type	Offer	Segment	Campaign Name	Description	Sell Start Date	Sell End Date	Stay Start Date	Stay End Date	Brand	Events	Media	Content	Direct Mail	Email	On Property	Brand-dot-Com	Loyalty 	PR	Social	Other Channels
Jul-17	Scott Holmgren	CALA	Regional Portfolio	Multi-Regional - Hotels from Two or more Regions (but not all) within One Single participating Division	Other - please list in column G	New York City, Miami, Orlando, DC, Houston, Dallas	Yes	Field Marketing	Package	Leisure	NYC, Florida The Ritz-Carlton CALA Summer Co-Op	Stay Longer With Us package promotion for 6 CALA resorts	6/12/2017	8/31/2017	6/12/2017	12/15/2017	RC	No	Yes	No	No	Yes	No	Yes	No	No	Yes	Paid Search
Jul-17	Scott Holmgren	CALA	Regional Portfolio	Multi-Regional - Hotels from Two or more Regions (but not all) within One Single participating Division	Entire US		No	Field Marketing	Loyalty Offers (MI, RC & SW)	Leisure	US - The Ritz-Carlton Fall CALA Rewards AMPS	Earn Double Points for minimum 5-night stay at 6 CALA resorts	8/23/2017	12/15/2017	8/23/2017	12/15/2017	RC	No	No	No	No	Yes	No	No	Yes	No	No	
Aug-17	Brittany Blais	CANADA	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Toronto, Canada		Yes	Field Marketing	Rate Only	Leisure	Toronto - Seasonal Awareness - Up to 15% Savings	Save up to 15%	1/1/2017	12/31/2017	1/1/2017	12/31/2017	SI, WI, GX, AL, EL, 4P	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	Kayak Inline Ads
Aug-17	Jennifer Bryl	CANADA	Loyalty	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Canada		No	Marriott Rewards	Loyalty Offers (MI, RC & SW)	Leisure	Canada - Aeroplan Summer Promotion 2017	Earn up to 2500 Bonus Miles on 3 nights	5/1/2017	5/1/2017	9/4/2017	9/4/2017	CY, DE, FI, MH, BR, RI, SH, TS	Yes	Yes	No	No	Yes	No	No	No	No	No	Aeroplan
Aug-17	Jennifer Bryl	CANADA	Loyalty	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Canada		No	Marriott Rewards	Loyalty Offers (MI, RC & SW)	Leisure	Canada - Aeroplan Fall Travel Bundle 2017	Earn up to 2500 Bonus Miles on 4 nights. Offer is valid any day of the week for participating Marriott Rewards Canadian hotels only. Must book with promo code MR5. 	9/12/2017	1/31/2018	9/12/2017	1/31/2018	AC, CY, DE, FI, MH, BR, RI, TS	Yes	Yes	No	No	Yes	No	No	No	No	No	Aeroplan
Sep-17	Katie MacDonald	CANADA	Regional Portfolio	Regional - Hotels within One Single participating Region	Canada	Canada	No	Field Marketing	Partnership (Credit Card, Airlines) 	Leisure	Canada - Aeroplan Fall Offer	Up t0 2500 bonus miles per stay at participating Canadian properties		1/31/2018	09/11/2017	1/31/2017	JW, MH, RH	No	No	Yes								
Oct-17	Madeline Hawkins 	CANADA	Regional Portfolio	Regional - Hotels within One Single participating Region	Other - please list in column G	Canada 	No	Americas BMD Marketing	Rate Only	Leisure	Canada -  Destination Display Media	Channels: Display advertising across travel networks through desktop, mobile, video and high-impact ad formats 	5/15/2017	12/31/2017	1/1/2017	3/31/2018		No	Yes	No	No	No	No	No	No	No	No	
Oct-17	Madeline Hawkins 	CANADA	Regional Portfolio	Regional - Hotels within One Single participating Region	Other - please list in column G	Canada 	No	Americas BMD Marketing	Rate Only	Leisure	Canada - Destination Paid Search	Channels: Paid search across destination and property terms.	1/1/2017	12/31/2017	1/1/2017	3/31/2018		No	Yes	No	No	No	No	No	No	No	No	
Oct-17	Madeline Hawkins 	CANADA	Regional Portfolio	Regional - Hotels within One Single participating Region	Other - please list in column G	Canada 	No	Americas BMD Marketing	Rate Only	Leisure	Canada - Destination Paid Social Media 	Channels: Advertising across social channels in support of Marriott Traveler Canadian destination content.	1/1/2017	12/31/2017	1/1/2017	3/31/2018		No	Yes	No	No	No	No	No	No	No	No	
Oct-17	Madeline Hawkins 	CANADA	Loyalty	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Canada 	No	Americas BMD Marketing	Loyalty Offers (MI, RC & SW)	Leisure	Canada - JW Vancouver Hotel Opening Offer 	Stay 2+ nights to earn 5,000 Marriott Rewards Bonus Points per stay; maximum 10,000 Bonus Points per member. Must book Promotional Code M11.	11/1/2017	1/17/2018	11/1/2017	1/17/2018	JW, AK	No	No	No	No	No	Yes	No	Yes	No	No	November and December Canada Regional METT, Hotel Specials/Hotel Landing Page, Marriott Rewards Instagram Story  
